k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
20;2;19;Yes;2199416;1360105;65056;50056;543869
20;2;20;No;2199416;913227;65056;50056;359351
20;2;20;Yes;2199416;1402172;65056;50056;555799
20;2;21;No;2199416;955281;65056;50056;371281
20;2;21;Yes;2199416;1444226;65056;50056;567729
20;2;22;No;2199416;997359;65056;50056;383211
20;2;22;Yes;2199416;1486305;65056;50056;579659
20;4;1;No;2288382;114004;65056;50056;141341
20;4;1;Yes;2288382;643898;65056;50056;354991
20;4;2;No;2288382;156070;65056;50056;153271
20;4;2;Yes;2288382;685964;65056;50056;366921
20;4;3;No;2288382;198136;65056;50056;165201
20;4;3;Yes;2288382;728031;65056;50056;378851
20;4;4;No;2288382;240214;65056;50056;177131
20;4;4;Yes;2288382;770109;65056;50056;390781
20;4;5;No;2288382;282268;65056;50056;189061
20;4;5;Yes;2288382;812163;65056;50056;402711
20;4;6;No;2288382;324347;65056;50056;200991
20;4;6;Yes;2288382;854242;65056;50056;414641
20;4;7;No;2288382;366413;65056;50056;212921
20;4;7;Yes;2288382;896308;65056;50056;426571
20;4;8;No;2288382;408455;65056;50056;224851
20;4;8;Yes;2288382;938351;65056;50056;438501
20;4;9;No;2288382;450509;65056;50056;236781
20;4;9;Yes;2288382;980405;65056;50056;450431
20;4;10;No;2288382;492587;65056;50056;248711
20;4;10;Yes;2288382;1022483;65056;50056;462361
20;4;11;No;2288382;534642;65056;50056;260641
20;4;11;Yes;2288382;1064538;65056;50056;474291
20;4;12;No;2288382;576720;65056;50056;272571
20;4;12;Yes;2288382;1106616;65056;50056;486221
20;4;13;No;2288382;618774;65056;50056;284501
20;4;13;Yes;2288382;1148671;65056;50056;498151
20;4;14;No;2288382;660852;65056;50056;296431
20;4;14;Yes;2288382;1190749;65056;50056;510081
20;4;15;No;2288382;702919;65056;50056;308361
20;4;15;Yes;2288382;1232816;65056;50056;522011
20;4;16;No;2288382;744973;65056;50056;320291
20;4;16;Yes;2288382;1274870;65056;50056;533941
20;4;17;No;2288382;787027;65056;50056;332221
20;4;17;Yes;2288382;1316925;65056;50056;545871
20;4;18;No;2288382;829094;65056;50056;344151
20;4;18;Yes;2288382;1358991;65056;50056;557801
20;4;19;No;2288382;871148;65056;50056;356081
20;4;19;Yes;2288382;1401046;65056;50056;569731
20;4;20;No;2288382;913227;65056;50056;368011
20;4;20;Yes;2288382;1443124;65056;50056;581661
20;4;21;No;2288382;955281;65056;50056;379941
20;4;21;Yes;2288382;1485179;65056;50056;593591
20;4;22;No;2288382;997359;65056;50056;391871
20;4;22;Yes;2288382;1527258;65056;50056;605521
20;4;23;No;2288382;1039426;65056;50056;403801
20;4;23;Yes;2288382;1569324;65056;50056;617451
20;4;24;No;2288382;1081492;65056;50056;415731
20;4;24;Yes;2288382;1611391;65056;50056;629381
20;6;1;No;2377324;114004;65056;50056;150001
20;6;1;Yes;2377324;684850;65056;50056;380853
20;6;2;No;2377324;156082;65056;50056;161931
20;6;2;Yes;2377324;726929;65056;50056;392783
20;6;3;No;2377324;198148;65056;50056;173861
20;6;3;Yes;2377324;768995;65056;50056;404713
20;6;4;No;2377324;240226;65056;50056;185791
20;6;4;Yes;2377324;811073;65056;50056;416643
20;6;5;No;2377324;282280;65056;50056;197721
20;6;5;Yes;2377324;853128;65056;50056;428573
20;6;6;No;2377324;324335;65056;50056;209651
20;6;6;Yes;2377324;895182;65056;50056;440503
20;6;7;No;2377324;366401;65056;50056;221581
20;6;7;Yes;2377324;937249;65056;50056;452433
20;6;8;No;2377324;408467;65056;50056;233511
20;6;8;Yes;2377324;979315;65056;50056;464363
20;6;9;No;2377324;450521;65056;50056;245441
20;6;9;Yes;2377324;1021369;65056;50056;476293
20;6;10;No;2377324;492599;65056;50056;257371
20;6;10;Yes;2377324;1063448;65056;50056;488223
20;6;11;No;2377324;534654;65056;50056;269301
20;6;11;Yes;2377324;1105502;65056;50056;500153
20;6;12;No;2377324;576732;65056;50056;281231
20;6;12;Yes;2377324;1147581;65056;50056;512083
20;6;13;No;2377324;618786;65056;50056;293161
20;6;13;Yes;2377324;1189635;65056;50056;524013
20;6;14;No;2377324;660852;65056;50056;305091
20;6;14;Yes;2377324;1231702;65056;50056;535943
20;6;15;No;2377324;702919;65056;50056;317021
20;6;15;Yes;2377324;1273768;65056;50056;547873
20;6;16;No;2377324;744973;65056;50056;328951
20;6;16;Yes;2377324;1315823;65056;50056;559803
20;6;17;No;2377324;787027;65056;50056;340881
20;6;17;Yes;2377324;1357877;65056;50056;571733
20;6;18;No;2377324;829106;65056;50056;352811
20;6;18;Yes;2377324;1399956;65056;50056;583663
20;6;19;No;2377324;871160;65056;50056;364741
20;6;19;Yes;2377324;1442010;65056;50056;595593
20;6;20;No;2377324;913239;65056;50056;376671
20;6;20;Yes;2377324;1484089;65056;50056;607523
20;6;21;No;2377324;955293;65056;50056;388601
20;6;21;Yes;2377324;1526144;65056;50056;619453
20;6;22;No;2377324;997371;65056;50056;400531
20;6;22;Yes;2377324;1568222;65056;50056;631383
20;6;23;No;2377324;1039426;65056;50056;412461
20;6;23;Yes;2377324;1610277;65056;50056;643313
20;6;24;No;2377324;1081492;65056;50056;424391
20;6;24;Yes;2377324;1652344;65056;50056;655243
20;6;25;No;2377324;1123547;65056;50056;436321
20;6;25;Yes;2377324;1694398;65056;50056;667173
20;6;26;No;2377324;1165625;65056;50056;448251
20;6;26;Yes;2377324;1736477;65056;50056;679103
30;3;1;No;2688627;114004;65056;50056;180311
30;3;1;Yes;2688627;828184;65056;50056;471371
30;3;2;No;2688627;156082;65056;50056;192241
30;3;2;Yes;2688627;870262;65056;50056;483301
30;3;3;No;2688627;198148;65056;50056;204171
30;3;3;Yes;2688627;912328;65056;50056;495231
30;3;4;No;2688627;240226;65056;50056;216101
30;3;4;Yes;2688627;954407;65056;50056;507161
30;3;5;No;2688627;282280;65056;50056;228031
30;3;5;Yes;2688627;996461;65056;50056;519091
30;3;6;No;2688627;324359;65056;50056;239961
30;3;6;Yes;2688627;1038540;65056;50056;531021
30;3;7;No;2688627;366413;65056;50056;251891
30;3;7;Yes;2688627;1080594;65056;50056;542951
30;3;8;No;2688627;408479;65056;50056;263821
30;3;8;Yes;2688627;1122661;65056;50056;554881
30;3;9;No;2688627;450521;65056;50056;275751
30;3;9;Yes;2688627;1164703;65056;50056;566811
