value,cdf
0.0,7.794718298880679e-06
0.0,1.5589436597761358e-05
0.0,2.3384154896642037e-05
0.0,3.1178873195522716e-05
0.0,3.897359149440339e-05
0.0,4.6768309793284074e-05
0.0,5.456302809216475e-05
0.0,6.235774639104543e-05
0.0,7.015246468992611e-05
0.0,7.794718298880678e-05
0.0,8.574190128768746e-05
0.0,9.353661958656815e-05
0.0,0.00010133133788544882
0.0,0.0001091260561843295
0.0,0.00011692077448321017
0.0,0.00012471549278209086
0.0,0.00013251021108097154
0.0,0.00014030492937985221
0.0,0.0001480996476787329
0.0,0.00015589436597761357
0.0,0.00016368908427649424
0.0,0.00017148380257537492
0.0,0.0001792785208742556
0.0,0.0001870732391731363
0.0,0.00019486795747201697
0.0,0.00020266267577089765
0.0,0.00021045739406977832
0.0,0.000218252112368659
0.0,0.00022604683066753967
0.0,0.00023384154896642035
0.0,0.00024163626726530102
0.0,0.00024943098556418173
0.0,0.0002572257038630624
0.0,0.0002650204221619431
0.0,0.0002728151404608237
0.0,0.00028060985875970443
0.0,0.0002884045770585851
0.0,0.0002961992953574658
0.0,0.0003039940136563465
0.0,0.00031178873195522713
0.0,0.00031958345025410783
0.0,0.0003273781685529885
0.0,0.0003351728868518692
0.0,0.00034296760515074983
0.0,0.00035076232344963054
0.0,0.0003585570417485112
0.0,0.0003663517600473919
0.0,0.0003741464783462726
0.0,0.00038194119664515324
0.0,0.00038973591494403394
0.0,0.0003975306332429146
0.0,0.0004053253515417953
0.0,0.00041312006984067594
0.0,0.00042091478813955664
0.0,0.0004287095064384373
0.0,0.000436504224737318
0.0,0.0004442989430361987
0.0,0.00045209366133507935
0.0,0.00045988837963396005
0.0,0.0004676830979328407
0.0,0.0004754778162317214
0.0,0.00048327253453060205
0.0,0.0004910672528294827
0.0,0.0004988619711283635
0.0,0.0005066566894272441
0.0,0.0005144514077261248
0.0,0.0005222461260250055
0.0,0.0005300408443238862
0.0,0.0005378355626227668
0.0,0.0005456302809216475
0.0,0.0005534249992205282
0.0,0.0005612197175194089
0.0,0.0005690144358182895
0.0,0.0005768091541171702
0.0,0.0005846038724160509
0.0,0.0005923985907149316
0.0,0.0006001933090138122
0.0,0.000607988027312693
0.0,0.0006157827456115736
0.0,0.0006235774639104543
0.0,0.0006313721822093349
0.0,0.0006391669005082157
0.0,0.0006469616188070963
0.0,0.000654756337105977
0.0,0.0006625510554048576
0.0,0.0006703457737037384
0.0,0.000678140492002619
0.0,0.0006859352103014997
0.0,0.0006937299286003804
0.0,0.0007015246468992611
0.0,0.0007093193651981417
0.0,0.0007171140834970224
0.0,0.0007249088017959031
0.0,0.0007327035200947838
0.0,0.0007404982383936644
0.0,0.0007482929566925452
0.0,0.0007560876749914258
0.0,0.0007638823932903065
0.0,0.0007716771115891871
0.0,0.0007794718298880679
0.0,0.0007872665481869485
0.0,0.0007950612664858292
0.0,0.0008028559847847098
0.0,0.0008106507030835906
0.0,0.0008184454213824712
0.0,0.0008262401396813519
0.0,0.0008340348579802326
0.0,0.0008418295762791133
0.0,0.0008496242945779939
0.0,0.0008574190128768746
0.0,0.0008652137311757553
0.0,0.000873008449474636
0.0,0.0008808031677735166
0.0,0.0008885978860723974
0.0,0.000896392604371278
0.0,0.0009041873226701587
0.0,0.0009119820409690393
0.0,0.0009197767592679201
0.0,0.0009275714775668007
0.0,0.0009353661958656814
0.0,0.000943160914164562
0.0,0.0009509556324634428
0.0,0.0009587503507623235
0.0,0.0009665450690612041
0.0,0.0009743397873600849
0.0,0.0009821345056589654
0.0,0.0009899292239578463
0.0,0.000997723942256727
0.0,0.0010055186605556076
0.0,0.0010133133788544882
0.0,0.0010211080971533689
0.01,0.0010289028154522495
0.01,0.0010366975337511302
0.02,0.001044492252050011
0.02,0.0010522869703488917
0.02,0.0010600816886477723
0.02,0.001067876406946653
0.02,0.0010756711252455336
0.04,0.0010834658435444143
0.049999999997453415,0.001091260561843295
0.05,0.0010990552801421756
0.05,0.0011068499984410564
0.05,0.001114644716739937
0.05,0.0011224394350388177
0.05,0.0011302341533376984
0.06,0.001138028871636579
0.06,0.0011458235899354597
0.06,0.0011536183082343403
0.06,0.0011614130265332212
0.06,0.0011692077448321018
0.06999999999879947,0.0011770024631309825
0.07,0.0011847971814298631
0.08,0.0011925918997287438
0.08,0.0012003866180276244
0.08,0.001208181336326505
0.09,0.001215976054625386
0.09,0.0012237707729242666
0.09,0.0012315654912231472
0.09,0.0012393602095220279
0.09,0.0012471549278209085
0.09,0.0012549496461197892
0.09,0.0012627443644186698
0.09,0.0012705390827175507
0.09,0.0012783338010164313
0.09,0.001286128519315312
0.09,0.0012939232376141926
0.09,0.0013017179559130733
0.09,0.001309512674211954
0.09,0.0013173073925108346
0.09,0.0013251021108097152
0.09,0.001332896829108596
0.09,0.0013406915474074767
0.09,0.0013484862657063574
0.1,0.001356280984005238
0.1,0.0013640757023041187
0.1,0.0013718704206029993
0.1,0.00137966513890188
0.1,0.0013874598572007609
0.1,0.0013952545754996415
0.1,0.0014030492937985221
0.1,0.0014108440120974028
0.1,0.0014186387303962834
0.1,0.001426433448695164
0.1,0.0014342281669940447
0.1,0.0014420228852929256
0.1,0.0014498176035918063
0.1,0.001457612321890687
0.1,0.0014654070401895676
0.1,0.0014732017584884482
0.1,0.0014809964767873289
0.1,0.0014887911950862095
0.1,0.0014965859133850904
0.10000000000127329,0.001504380631683971
0.11,0.0015121753499828517
0.11,0.0015199700682817323
0.11,0.001527764786580613
0.11,0.0015355595048794936
0.11,0.0015433542231783743
0.11,0.001551148941477255
