value_hours,cdf
4.840740740740741,0.174
4.855102040816326,0.175
4.858333333333333,0.176
4.85961145194274,0.177
4.868484848484848,0.178
4.86978021978022,0.179
4.872052845528454,0.18
4.8728878648233485,0.181
4.919154228855721,0.182
4.928076062639821,0.183
4.937308868501529,0.184
4.947938144329897,0.185
4.948132780082988,0.186
4.9593261131167266,0.187
4.973409669211196,0.188
4.977902621722847,0.189
4.981464174454829,0.19
4.985304659498207,0.191
4.986254295532646,0.192
4.994871794871795,0.193
5.01498127340824,0.194
5.020152505446623,0.195
5.0246732026143786,0.196
5.042004504504505,0.197
5.0519323671497585,0.198
5.052005012531328,0.199
5.063020833333334,0.2
5.08213058419244,0.201
5.083767361111111,0.202
5.09,0.203
5.092355889724311,0.204
5.095989974937344,0.205
5.103516819571865,0.206
5.104853479853479,0.207
5.11,0.208
5.112406015037594,0.209
5.114993026499302,0.21
5.127719298245614,0.211
5.1374031007751935,0.212
5.156181015452539,0.213
5.159294871794872,0.214
5.171904761904762,0.215
5.176143790849673,0.216
5.19228650137741,0.217
5.1926881720430105,0.218
5.208463541666666,0.219
5.2274611398963735,0.22
5.233946078431372,0.221
5.235824742268042,0.222
5.23914373088685,0.223
5.248270440251573,0.224
5.255215419501133,0.225
5.266263440860215,0.226
5.26680216802168,0.227
5.270882352941177,0.228
5.276055312954877,0.229
5.281506849315068,0.23
5.283834586466166,0.231
5.289545454545455,0.232
5.299717514124294,0.233
5.3037777777777775,0.234
5.3058531746031745,0.235
5.32982905982906,0.236
5.3298550724637686,0.237
5.33445945945946,0.238
5.359340659340659,0.239
5.367599067599068,0.24
5.374385964912281,0.241
5.375,0.242
5.379776422764228,0.243
5.398201438848921,0.244
5.401624293785311,0.245
5.411487758945386,0.246
5.420408163265306,0.247
5.422533333333333,0.248
5.433503401360544,0.249
5.438227513227513,0.25
5.439138576779026,0.251
5.45414201183432,0.252
5.463520408163265,0.253
5.472689075630252,0.254
5.4806349206349205,0.255
5.489982269503546,0.256
5.494704049844237,0.257
5.497619047619048,0.258
5.504892966360856,0.259
5.505115511551155,0.26
5.505989583333333,0.261
